Id,EssayText,Score1,Score2
16958,"She feels weighed down by helping the family and doesn't really want to do all she is doing anymore, but she also doesn't want anyone to know how she feels because she doesn't want to hurt her family. ''Do you feel so weighed down by what you're doing to help this family?' Rose didn't answer. If she told the truth, she would hurt her aunt. And probably her aunt would tell her mother.'",1,2
16959,"Rose is a tired hard working girl. When she talks to her sister she is serious, and when her and her aunt talk her aunt respects her because she has had her days like her before.",0,1
17027,"Rose is a hard worker because she has a job, helps with dinner, does her homework, and still finds time to write an essay for a compotition.",1,2
17070,Throughout the story Rose has a motherly trait. She is looking after Anna while her mother is at work. Rose's characteristic is also brought out when she explains how she is working to help put her brother through college. The most improtant line that conveys this is when Anna says 'You sound just like Mama' (12).,1,2
17077,Rose is stressed that she has to pay for her brothers college fuund and get herself through school. She practically takes care of herself and her sister. Rose also works for all of her money.,1,0
17179,"One trait that can describe Rose based on her conversation with Anna is that of wisdom. Rose is able to understand that money is very important to her family, saying to anna 'Only if you already have everything.' when the girl tells her that money isn't everything.",1,0
17192,She seems to be worried about many different things.,0,1
17199,worry is the trait that I think Rose based her conversation with her aunt Kolab on. Her aunt says 'Maybe we can find a way to do things differently. A way better for you.',0,1
17203,"Rose is very supportive, even though she hides her true feelings. She exhibits this when she is talking to Anna, laughing at her own statement, even though the narrators says even Rose herself could tell it was fake.",1,0
17223,"A trait that is able to describe Rose would be her determination. Though she is weighted down by her family struggles, Rose still writes the essay for the contest. And though she felt hopeless, after speaking with her Aunt Kolab, Rose felt a renewed sense of hope and determination that she can continue.",1,0
17233,One trait that can descibe Rose is her loyalty to her family.  She will do anything to help her family succeed.  This is shown when it is revealed that Rose works at the restaurant to help her brother pay for college.,1,2
17234,One trait that describes Rose would be caring/worried.  One detail from the story would be when Rose asks what's wrong with Anna.,1,2
17283,"One of Rose's character traits is that she is hopeful for a brighter future regardless of the present problems in her life. As can be seen in her conversation with Anna, she recogizes her current stresses will help them get into good colleges in the long-run.",1,2
17300,"One trait I found in this story about Rose, would be that she is caring. Her Aunt Kolab asked, 'Do you feel so weighed down by what you're doing to help this family?' Rose is to caring about her Aunt's feelings to tell her the truth and crush her feelings.",2,1
17305,"Rose tries to reassure her sister about their father working in a different place. When Anna says 'It feels like he's been gone for years,' Rose kindly breaks in that he has only been gone for four months, and that they needed the money.",0,1
17394,"Rose seems to understand that everything she is in the best interest of her and her family, but the pressure only weighs down on her more. This is prevalent when she is speaking with her sister, Anna. Despite the feelings of stress bearing down on her, she explains their current situation to her sister calmly and sincerely.",1,0
17440,"Based on her conversation with Anna, Rose is an understanding person. Anna is still young so she can not fully understand why her family is working so hard. Rose explains to her its for the enitire family; for her brother and themselves. Rose overworks herself with school and work but she knows its for her family so keeps on perservering, ignoring the fact that she feels too much responsibility for her age.",1,0
17441,"Rose, judging by her unwillingness to speak about how she felt to her Aunt Kolab, works as hard as she does because she does not wish to let her family down.",1,0
17450,Rose's sense of responsibity is evident in her conversation with Anna. her ability to suppress her own feelings to try and make things easier for her sister is a great personal trait.,2,1
17484,Persistent.,1,0
17512,"Rose seems very responsible. She is taking care of her sister alot, and looking out for her brother like in paragraph fourteen. 'She felt too young fo so much responsibility.'",1,2
17533,"I see Rose as being a Stubborn little girl that was very close to her dad, but when he had to go away for his new and better paying job they grew apart which made her really lonely",1,0
17561,"She's very helpful, going to school and then a four hour shift and then coming home to make supper. And then to do her homework. She's really trying to help her family out.",2,1
17652,she is a good student in school because it talks about how she has to write this long essay and shows how determined she is.,0,1
17672,"One trait that can describe Rose is caring. Rose is caring because she works hard to earn money for her struggling family so they can pay for Paul, Rose's brother, to finish college.",1,2
17677,Rose has sympathy for people. She does not want to hurt others feelings. In the story it says that if Rose told the truth than it might hurt her aunts feelings.,2,0
17679,"One trait that describes Rose is caring. In her conversation with Anna, she not only asks if she is okay, but speaks gently to her in order to try to ease her pain.",1,2
17708,Rose is compassionate because even though she is exhausted and trying to work while going to school she still tries to calm her sister. She tried to make Anna feel better about her father being away.,1,0
17790,She's a caring person because she asks her little sister how she is feeling and whats wrong.,2,1
17803,"Rose try's to be thoughtful of her sister and aunt, but she has the essay that she has been working on. she goes on to say that if she wins we wont get to travel to Sacramento to reive the prize she wants.",0,1
17820,I would have to say that rose is a hard work because it said she worked a four hour shift after school then came home to help with dinner nd then had to work on her essay.,2,1
17854,"She isn't self centered. She realizes how other people sees her situation.'But now I realize that you're seeing the situation through other eyes-as you should, I suppose, because you grew up here.... This must be difficult for you. Yes?'Rose nodded.",1,0
17882,"Rose is full of perseverance.  She constantly tries to help her family in every way possible, even though she has a busy life.  She expresses how her family relies on her when she states, 'We have our part to do to help Paul finish college.'",0,1
17917,"One trait that describes Rose is that she's helpful. She likes to help all of her family members in this time of need when her family depends on her the most. Although she does get stressed out about it, she still fights through all of the stress she has.",1,2
17941,"One trait that can describe Rose based on her conversation with Anna is that she is an overwhelmed young lady. This is expressed when she says, 'I fell asleep working on my essay,' and also when she says, 'We have our part to do to help Paul finish college. Then he'll get a good a job, Anna, and he'll pay for you and me to go to college.'",1,0
17983,"Rose feels weighed down by what she is doing to help her family but cannot tell her Aunt Kolab because she would hurt her Aunt's feelings. This trait comes from Rose's conversation with Aunt Kolab when Aunt Kolab asks her, 'Do you feel so weighed down by what you're doing to help this family?'",0,1
17990,"Rose is very strong-willed because when Anna said to her, 'money isn't everything.' Rose immediately snapped back and disagreed with her.",2,1
18008,hopeful.           maybe her life would get easier.,2,1
18022,"In the convorsation Rose had with her younger sister Anna, she seem to be strong. She was being postive about the situation with her father. I feel she was being this way towards her sister to give her comfort, and make it seem like things arnt as bad as they seem.",1,0
18026,"Rose seems to be a very caring character throughout this story. When she talks to Anna and tries to make her feel better, her caring personality shines through to the readers.",1,2
18051,Rose shows that she can be very understanding of other peoples' thoughts.  When she was talking to her sister she tried to show that she understood how her sister felt.  When she was talking to her aunt she understood that life in Cambodia was much different than hers.,1,0
18090,ose is givingRose dose stuff for eveyone else such as get a job and try to make her sister feel beter and dosent ask for anything in return.,0,1
18109,"Rose is a hard working young lady. She works a four hour shift every night and then comes home, cooks, and completes her home work",2,1
18132,"One trait that can describe Rose based on her conversation with Aunt Kolab is determination. She is determined to help make a better life for her and her family, even though it isn't easy. Her Aunt Kolab is willing to help her by selling special treats from Cambodia and selling them, or by sewing for ladies.",1,0
18161,"Rose has an over-developed sense of responsibility as she is pressured to work herself into exhaustion to help support her brother.  She feels an obligation to work, yet she does not like it.  Her aunt asks her if she feels 'so weighed down by what [she's] doing to help this family.'  She suppresses her answer, which shows that she is embarassed by it so it must be yes.  Once her aunt offers to help support the family, Rose feels 'lighter.'  Her family's culture prevents her from freeing her burdens from herself and that causes her to become responsible.",1,2
18164,She is trying to find a way to help her family. She needs help because she feels gilty for something she couldn't stop.,1,0
18183,"In her conversation with Anna, the reader can see that Rose realizes the extent of her responibilities and duties to her family, specifically her brother. However, she shows that she wants to appear mature to Anna, and instead of telling her how she really felt, she tries to look at the situation from a practical and adult-like viewpoint, and appears 'just like Mama.' Rose's responses to Anna, such as 'money isn't everything' show that she is unwilling and embarassed for Anna to see how she really feels.",2,1
18185,"Rose is a very positve person. This trait is shown when Rose remains positive when talking to Anna, for she does not want to upset her.",1,0
18186,"Rose wants to be a helper, by doing things to help her family get through the hard time. As she said 'Maybe I can sew for ladies'.",1,0
18190,Rose is caring and helpful because she tries so hard to help the family out and her aunt even said that it must be hard on her.,2,1
18200,"Based on Rose's conversation with Anna, Rose trusts her logic more than she trusts her emotions. Whereas Anna complains that she would rather Papa be home than making money in Los Angelos, Rose reasons although she misses Papa, the job in Los Angelos is better paying and they need the money for Paul to finish college.",0,1
18208,"Rose is hardworking. She goes to school, then heads off to the resaurant she works at for her four-hour shift, heads home to help her Aunt make a quick super, and then she started on her homework.",2,1
18221,"She sticks up for her Mom and Dad, in the story Rose and Anna started talking about their mom's job and how she works so late and how her dad had to leave for a job that payed almost three times as much and how she hated it but Rose stood up for them and said they had too.",0,1
18227,Rose is kind with her sister. She shows this by being compasionate with her sister when she wakes up in the middle of the night and she explains that dad left because the pay was three times what it is where they live.,0,1
18267,Rose is a hard worker and is trying to do her part to help her family. For example Rose states that Anna and her have to do their part to help Paul finish college.,1,2
18275,Roses trait would be that she is strong emotionaly. I know this because even when she is stressed and sleepy she helped her sister when she needed it.,1,0
18326,Rose is very pressure. She feels like she has a lot on her plate. She has to write a paper and has to work to help support her family. She feels she has to much responsiblity for how young she is.,1,0
18344,Rose is a hard working girl who is more then willing to help her family with any problems. She takes time from writing her essey  every night to help her Aunt Kolab prepare dinner.,1,2
18369,"Rose has taken on a adultlike responsibility. This is evident when Anna says to her, 'You sound just like mama.' This trait could be described as she was growing up too fast. she was not the typical teen that people would think of in the world. The best example of this is in the second paragraph where it talks about what her daily routine is like. This shows that she is busy with helping. This fact is shown when she talks to her aunt in the end when it talks about her being weighed down because she is helping her family.",0,1
18394,"One way to describe Rose would be respectful, because through out the whole story Rose never talks back to Aunt Kolab.",1,0
18470,I think that Rose is mature. I think this because in the story she tries to help her sister with how she is feeling. Rose tries to help Anna out with the leaving of their father.,1,2
18507,One of her traits is that she is caring. she didn't tell her aunt how she really felt because she was scared it would make her aunt disappointed.,2,1
18559,"Rose is a caring person, she asked anna what was wrong when she looked sad.",2,1
18573,"Rose is a fearful or stressed being. She wants to help her famliy, however, she feels as if she does not have enough time or patience to do everthing. Rose feels pressured, and this trait of feeling pressured is exposed through a dream. 'His body sank as if it were made of stone, pushing her beneath him down to the sandy bottom.' Paul's body wrighting her down represents all of the tasks she needs to do. She has too much going on.",1,0
18584,One trait that I think describes Rose is mature. I think this because when she was talking to her sister Anna she stood up for her father who moved to Los Angeles. She looks at things from other peoples' perspectives which makes her very mature.,2,1
18591,"Rose wants to help the family as much as possible, but she does not want to up set her mother or aunt. In paragragh 19 she says if she told the truth she would hurt her aunt. And probably her aunt would tell her mother.",2,1
18630,I believe strength describes Rose. She is trying to hold her family together and we see this during her conversation with Anna.,1,0
18636,"Rose is caring because she is a person that would do anything to help her family. When Anna discusses her distaste for their mother working so late and their father not being around, Rose attempts to lighten the situation and make Anna feel better. She makes a joke saying that money isn't everything as long as you already have everything. Rose also tries to explain why everything has to happen the way it does. An example of this is when she tells Anna that the only reason he left them was to make money for them to better their future.",2,1
18656,"One trait that describes Rose is hopeful. Even though she has to work, go to school, cook, and try to write an essay, she still has hope that her life is going to get better. This is shown when Rose is talking to her Aunt Kolab. 'Maybe I can sew for ladies. Or I could make special treats from our country and sell them.' This sentence shows how she is going to make an effort to make her life better. She is also hopeful by coming up with an essay topic to write about and maybe should could win the writing contest.",1,2
18671,"Rose is a very responsible and respectful person. In paragraph 2 she was responsible for supporting her family, working, and doing school work. Rose is very respectful to her Aunt Kolab because as it shows in paragraph 12 sshe does not want to hurt her.",1,2
18700,"In the conversations that Rose has with Anna and Aunt Kolab Rose comes off as determined. She is determined to graduate just like her brother, Paul, did. She's determined to help her family out as much as possible with her father gone in Los Angeles.",2,1
18710,Determined because she just knows that Paul will finish college and make enough money so that both of the girls will also be able to go to college.  Even though Anna doesn't think that this will happen Rose knows it will happen.,2,1
18729,"Rose doesn't want to hurt anyone's feelings by saying how she feels.  She didn't want to hurt her sister or her aunt. In the story, it says; Rose didn't answer.  If she told the truth, she would hurt her aunt. And probably her aunt would tell her mother.",0,1
16954,Rose wants to help the family but feels weighed down that there is too much pressure on her to do well and help Paul with college,1,1
16955,"Rose can be described by the trait of responsability. This is shown because she has a job, but still manages to do her homework. This can be very hard to do sometimes but she is responsible enough to do it.",1,1
16956,"Rose is thoughtful and caring.  She has plenty of topics or activities in her life that she could be complaining about; however she puts others before herself.       For example in the story Aunt Kolab asks Rose if the work she does to help the family 'weighs her down'.  Rose did not want to tell her the truth because she did not want to hurt her aunt.  Therefore, one can see Rose cares about others emotions and can be characterized as thoughtful.",2,2
16957,"One trait that describes Rose is understanding. When she was talking to Anna, Anna was saying that she is lonesome for Papa and that it feels like he has been gone for years. Rose understands that even though it hurts his family emotionally, Papa had to take the job in Los Angeles to give his family a better life. She says to Anna that it has only been four months since he left and that he gets paid three times what he was making there.",2,2
16960,"Based on her conversation with Anna, Rose comes across as understanding. She explains to Anna that even though it's hard on them, they each have their part to do for the family in order to help during difficult times. This shows that she understands the families struggles and realizes they need her help. Even though she feels slight resentment for this, she surpresses these feelings while explaining the situation to Anna because she understands thatn the family needs them to help out.",2,2
16961,Rose conversations were based on there trait there are all from cambodia,0,0
16962,"One trait that can describe Rose is that she is stressed. You can tell that she is stressed because in the beginning of the story she tells you that her day, like most of her days, had been too long and too demanding. She had gone from school straight to the restaurant, then home to help with dinner and then to do her homework.",0,0
16963,One trait would be that she is smart and is a hard woker because she is in a contest were she has to write a three thousnad word essay and she stiil had to go to work.,1,1
16964,The time Rose was talking to Anna about why thier dad had to leave because of a job. She says 'He had to go. The job in LA paid better then what he was making here.',0,0
16965,"Rose is a very optimistic person. In her conversation with Anna, Rose always looks at things as if they were for the better and that they will have a good outcome. When they are talking about their father who moved away to get a better job Anna is complaing about how they never get to see him anymore but Rose is looking at it from the other point of view, that he did it to get more money to help support his family and to send his girls to college.",2,2
16966,she is caring she doesnt want to tell her aunt because she is  afraid she is going to make her feel bad.,2,2
