Id,EssayText,Score1,Score2
19954,The background information about Mr. Leonard relates to paul because they both couldnt read very good and mr. Leonard wants paul to to do better in life then what he did. it effects paul by making him want to try hard in track and school.,2,1
19980,The backgound information that PAul had gotten effect him because Mr.Lenard couldn't read just like him so they both help out each other to learn something new.,0,2
19981,The effect of the background information had a great effect on Paul. Paul might have felt as though he is being trained by one of the best hurdlers he knows of. Paul was also appauled by the information he wanted to know why Mr. Leonard stopped doing track and why did he want to trained Paul.,1,0
19993,"When someone gets background information on someone else, they learn alot more about that person. In the story, Paul is informed background information on Mr. Leonard. As it is discovered, the information is actually similar to what Paul has a problem with. Mr. Leonard couldn't read and flunked out of college cause his lack of ability to read. Although Mr. Leonard wasn't a very good reader, he was a very good runner. When Paul explains that he can't read, Mr. Leonard wants Paul to run track like Mr. Leonard did in high school. He wanted Paul to run so he could excel at something like Mr. Leonard did. They both had the same feelings of embarrassment for their lack of ability to read.",0,2
20001,"The background information that was given in the story has an effect on Paul because Mr.Leonard sees himself in Paul. Mr.Leonard could not read in school, but was very good at track. He feels that Paul is going through the same thing. Paul feels that he can relate to Mr.Leonard. Now Mr.Leonard is going to try and help Paul complete what he could not.",1,2
20009,Paul felt like him and Mr leonard had stuff in common not knowing to read. He felt like he had to try his best and fulfill Mr. leonards tasks. Because when Mr. Leonard was in school he had the same problems as Paul and didnt make it cause he couldn't read like he did. So he was going to prove some people wrong and help Paul out in hurdle.,2,1
20014,Paul understood that working hard in school is still important even though it gets hard. The background information also shows Paul that he is almost like Mr. Leonard because he is becoming better at track and has trouble reading.,1,2
20020,"The information the coach provides Paul with enlightens and motivates him to make a better future for himself, and to make Mr. Leonard proud. Even though he is a weak reader, Paul finds that he is good at hurdles, something he and Mr. Leonard have in common. After Mr. Leonard shares his story, Paul is motivated to become a better reader, as well as to help Mr. Leonard to do so as well.",1,2
20030,"When Paul finds out that Mr. Leonard had been an excellent runner in track, he is somewhat confused because, as the story says, Mr. Leonard is now only a hall monitor. He wonders what had happened that caused him to drop so low in the order of things. After he talks to Mr. Leonard though, he realizes that it is just as important to have a good education as it is to be good at sports. It inspires him to accel in all areas of his life, not just sports or school.",2,1
20036,"The narrator is shocked at how good of an athlete he was, and did not tell anybody. Then the narrator realized that Mr. Leonard did not tell the whole story about how he could not read, and was struggling in college.",2,1
20038,"He is greatful that Mr. Leonard had told him his background story, because it helped him along the way with his sport. He Is glad that he told him so that he knew how he could help him to through out the way.",2,1
20041,The background information that Paul gets on Mr. Leonard makes Paul want to help Mr. Leonard just like how Mr. Leonard helped him with the hurdles.,0,1
20047,"When Paul find out about Mr. Leonard he is shocked, yet he feels the same as Mr. Leonard. Paul listens to Mr. Leonard speak about his past, and realizes that Mr. Leonard's words are all too familiar. Paul too understood what it felt like to be embarrased. This inspires Paul to help Mr. Leonard with his obstacle.",1,2
20048,"The background information that Paul got on Mr. Leonard made Paul want to try harder to read. Paul knew that he was good at track but not good at school. When he found out that Mr. Leonard was the same way but then got kicked out of track for not being able to read, it made Paul only want to try harder.",2,1
20052,Paul can relate to the information quite well. The emotions he heard in Mr. Leonard's words was kind of what he felt like when he was called on on class to read aloud or when everyone knew an answer and he didn't. Both Paul and Mr. Leonard can relate to one another.,1,0
20060,"During the story when Paul gets background infromation about Mr. Leonard, he gains a new respect for the teacher and becomes a closer friend.  This can be seen in the text because in the last two paragraphs it is impied that Paul would help Mr. Leonard learn to read.",2,1
20061,That Mr. Leonard Grabowski and Paul are alike in many ways.  They were both wanted to be in track but they couldn't becuse they were not good enough so everybody thought. So Then Mr. Leonard was the best 400 meter runner. So that made Paul want to be just like him.,0,1
20069,paul said that all of mr. Leonards words were all to familiar to him and he knows how he feels,0,1
20081,"At first, Paul only thinks of Mr. Leonard as a hall monitor who checks his pass twice a week. Then, Mr. Leonard helps him seek an extracurricular activity, he is interested in and Paul doesn't quite understand why he is helping. After talking to the track coach, looks up Mr. Leonard on the internet, and talks to him about his past experience with track and learning, he then understands what he is trying to do for him. Mr. Leonard was in the same position as Paul and understand how he feels when it comes to school. So, he tries to find something that Paul will succeed in to help him build his confidence. After, Mr. Leonars helps him, Paul feels as if he should give back and help Mr. Leonard in return.",1,2
20083,Paul was shocked that he broke records.he was supprised that Mr.leonard did that.He also learned that he went to colledge but didn't stay in,1,2
20086,It helps moviate him to become a better reader and to try to help someone less forturnate.,2,1
20087,Paul was always the last one picked in gym. He then background checked Mr.Leonard and found that he was a track sta.That inspired him to get fit and to enjoy gym even to strive to be the first picked in gym. He also was wondering why Mr.Leonard didnt tell him about his past tack star statis and soon after the confrontation Mr.Leonard was inspired to re live his past as a track star.,0,1
20091,"When Paul finds out about Mr. Leonards past he is very thankful for the help on the track. He now knows that even though he cannot read as welll as some others, he is still very fast and can be one of the best thanks to Mr. Leonard's help.",1,0
20095,He was kind of concerened why Mr. Leonard never mentioned that he was a great runner that broke records.,2,0
20108,paul is always getting picked last and so was leonard. they both cant read so they are just alike. and now they are both really good at jumping hurdles.,0,1
20111,Paul thinks he cna over come anything ads long as he can stick with it and practice. At first Paul was not a very good runner. Then Mr. Lenord told him to bring sneakers and shorts the next day. Whne Paul got serious about running and put his mind to running the he would do very good at running. So if Paul can Practice and be good at running he will not be picked last any more for sports and will do good at his favorite sport.,0,1
20113,"When Paul gets background information in Mr. Leonard, he sees that, just like Paul, he struggled with reading and was also a runner.  Paul foreshadowed Mr. Leonard's story growing up through high school and college.",1,0
20116,"The background information had a positive effect on Paul, it gave him the motivation to overcome the hurdles he was going through.Even tho Mr.Leonard wasn't the stongest student he was able to compete athleticly.It helped connect the two.",2,1
