Id,EssayText,Score1,Score2
15201,"the three are slime, filagine, and micro organisums.",0,0
15529,-Nucleus allowing substances to enter through the membrane.-Cell membrane allowing substances through-Proteins leaving the membrane.,0,0
15629,"The three types of movements are diversion, equilibrium, and distrubition. Diversion is the process of one substance passing through the membrane. Equilibrium is the process of balancing the concentration on both sides of the membrane. Distribution is the process of moving two different substances to opposite sides of the membrane.",0,0
15745,Flagella are used for movement by the cell. Cellular Respiration is a processed used by the cell to breathe. Mitosis is another process used by the cell to reproduce.,0,0
14916,"The cells can control the movement of substances across the membrane by slowing them down, and blocking out certain substances. They might allow certain substances to come in, but others cannot.",0,0
14913,"first thing would be there round small shape helps them flow all around the body.second thing would be the mebrane inside the cell, it can give enrgy to help it move and live.therd thing is the function it has in the body. only so that the body notice what it is and it allows it to get to where it needs to go.",0,0
15148,The cytoplasm moves stuff across the membrane.,0,0
15045,homeostacious,0,0
14372,Cells control the movement of substances across the cell memebrane the three proceesses are: The cell membrane moves out and in cells.Also it controls all the stuff in the cell membrane.And also the cell membrane carrys stuff into the membrane.,0,0
14249,They have the same cells so they can move from place to place.,0,0
15032,blood movement cells,0,0
15317,"Three processes used by cells to control the movement of substances across the cell membrane are when the cell membrane uses proteins to allow substances through the membrane, when small particles enter through the cell membrane, and when particles too large to enter the membrane through proteins use enzymes to make the particles smaller.",0,0
15685,"Diffusion, allows the flow to be controled. Osmosis lets water in while the surface area decreases.",1,1
14801,Osmosis- Using the gradient to allow substances to move in or out of the cell.Endocytosis- Using the phospholipid bilayer to surround the matter and completely ingulf it.Exocytosis- Using the phospholipid bilayer to force waste and other uneeded material out of the cell.,1,1
14352,diffusion only allows certain particles to leave and enter the cell.Osmosis only allows a certain amount of water to go through the cell.the cell membrane  controls what enters and leaves the cell.,1,1
15437,The cell has certain proteins that match up with certain substances and then lets them into the cell.Diffusion is when the cell lets a higher concentration of water move to a lower concentration of water.Osmosis is when a higher concentration of substances move to a lower concentration of substances.,1,1
14488,One of them is that the cell membrane is selectivley permeable. The cell membrane controlls what enters and exits the cell.  The nucleus tells the cell what to do because it acts as a brain.,1,1
14147,"One process is osmosis, which helps moves water in and out of the cell. Another process would be going through the protein channels, this moves things in and out of the cell. A third process would be isomosis.",1,1
14593,"active transport,which is where energy is envovled.there is cellular respiration,which is the oxygen flow.",1,1
14846,Endocytosis is the movement of substances into the cell. Exocytosis is the movement of substances out of the cell. Diffusion is the movement of substances from an area of high concentrain to an area of low concentration.,1,1
15561,"To control the movement of substances across the cell membrane, they use diffusion. Diffusion is the process in which things from a high concentration, move to an area of low concentration.",1,1
14656,Diffusion is used which is the movement of particles across a semi permiable  membrane from a high to low concentration. Osmosis is also used which is the movment of particles from hypotonic and hypertonic solutions.,1,1
