Id,EssayText,Score1,Score2
26852,white :: This color through off more heat than the res t of them.,0,0
26011,white :: because the lighter the colors are the least heat energy is going to be absorbed.,0,0
26635,dark gray :: dark gray,0,0
26408,"dark gray :: The greater the increase in the air temperatu re in the glass jar , because darker colors absorb more energy.",0,0
26718,dark gray :: Because dogs can only see light gray or dark gray and its more easyer for him to see his dog house?,0,0
27114,black :: The black paint color would help make the dog house warmer during winter and insolate it better. In the experiment the black lid had the best insolation because it started at 24(DEG)C and en ded at 53(DEG)C on average. It was by far the best lid.,0,0
27197,"dark gray :: This color can affect the doghouse by keeping an even temperature year round, so the dog house won't get to hot or too cold for the dog. The dark gray lid kept the same temperature the entire test, giving me a conclusion that the dark gray color gives an even temp erature.",0,0
27122,black ::  the color will affeect the doghouse because i t will be less hot iin the dog house and black reflects sunlight.,0,0
26044,white ::  I think white is the best coler out of all of the choses here because black is not esey to find in the dark but white is esey to find.,0,0
26678,black :: i think black would be the best for the color of a dog house because darker color aborb more energy and black is the d arkest one,0,0
27206,light gray :: Different color affect the doghouse color aff ect the heat in the doghouse,0,0
27350,black :: because it atracks energy and that makes the paint to come off .,0,0
27219,black :: the color can effect the dog house because if the dog house is a dark color and its hot out side there will be more en ergy.,0,0
27501,black :: black will affect the dog house buy keeping h eat in,0,0
26444,"black :: Trial 1: (54), Trial 2: (52), Trial 3: (54), Trial 4: (53). This color would keep keep it warm when It needs to be war m, and keep it cool when it needs to be cool.",0,0
27403,dark gray :: dark grey because if you use this color the d og house will be about 48 degrees and the dog house will not be to cold,0,0
26652,light gray ::  black holds heat in so it would be to hot and white hardly holds any heat.so light gray can still hold heat while giving the dog that nice cool feeling.,1,1
27508,light gray :: If the doghouse is light gray then in the win ter it will be slightly warmer than the actual temperature and in the sum mer it will be slightly cooler than the actual temperature.,1,1
26602,black :: it will make the dog house really hot.,1,1
26766,"dark gray :: Using the dark gray paint would be best becau se it was closest to the average temperature of all of the colors. The do ghouse temperature would be warm, which is good for the winter and most s easons.",1,1
26733,dark gray :: cause darker the color more it atracts heat,1,1
26491,black :: the color affects the dog house by the tempat ure inside the doghouse if the color is darker it will be hoter if the co lor is lighter it will he colder and so on. and because the doghouse will probaly be outside i chose black so that it is warmer,1,1
27415,white :: white absorbs less heat so it would keep the dog cooler,1,1
26411,black :: i think that black she psint the doghouse bec ause it dark and it could absorb more energy and increase in air tempertu re.,1,1
27301,"white :: The color white will keep the doghouse cool u nder sunlight, because in the expirement, the white color reflects sunlig ht, not absorbing it. so, the doghouse will be cooler",1,1
26597,"light gray :: Light gray because it didnt heat up that much , but it did a little so the dogs house wouldnt get too hot in the summer or too cold in the winter",1,1
27520,light gray ::  It depends on the dog. If the dog has medium amount of hair then the best color would probably be light gray because i t doesnt obsorb that much heat energy. But if the dog was a hairless one then it would be best to go with black so that way the dog could get enou gh heat in the doghouse.,1,1
26381,dark gray :: This color will make the temperature in the d og house will cause the dog house to stay cool but also collect heat. In the experiment the dark gray got up to 48(DEG)c .,1,1
27506,white ::  white is the best becouse it is the coolest and would not over heat he dog,1,1
26137,"light gray :: Light gray won't absorb too much sun in which case heating the interior, and it will absorb enough heat on cold days t o warm inside.",1,1
27554,dark gray :: It wold make it cooler in the sumer but warme r in the winter because the dark coler would atraket the heat.,1,1
27192,"black :: It would keep the dog house warm, because darker colors absorb more energy",1,1
26889,black :: Black would change the temperature of the dog house by making it warmer beacause black absorbs heat to most. With the black lid the temperture was 53(DEG)C. With the white lid the temperature was 42(DEG)C. There was 11(DEG)C difference.,2,2
27543,black :: the more dark the dog house iis the hoter it will be in the dog house so if it was black it would be hot in it like in the experiment when the kid was black it was 53 dagrees c and when the l id was white it was 42 dagrees,2,2
27370,"white :: The white paint would make the inside of the doghouse coolest because according to the experiment the average of each color are black:53, dark gray:48, light gray:45, and white:42.",2,2
26361,white :: The color white might affect the doghouse bec ause since white is a very light color it does not absorb light as well a dark color would.The dark color would not only absorb the light but woul d also create heat energy.From the results in the experiment white was th e color that I had chhosen because the air in the glass jar did not get n ear as hot as all the others.Also picking the color that didnt create as much heat as all the others is the best to choose because then the dog st ays cool.,2,2
27551,dark gray ::  Dark gray would be a good color because it wo uldn't be too cold nor to hot. in the experiment the dark gray jar was in the middle of tempertures not being the coldest like the white or the wa rmest like black but somewhat in the middle with an average temp of 48(DEG) c,2,2
26312,"light gray ::  Light gray will keep the doghouse cooler that black because lighter colors reflect more light than darker colors. Dark colors do not reflect light well, instead they absorb it causing higher temparatures. In winter light gray will keep the doghouse slighty warmer than white would and it will keep the doghouse cooler in the summer.",2,2
26528,"dark gray :: I would choose to paint the doghouse dark gra y because the color would not be too dark or too light so it wouldn't mak e the doghouse too warm or cold. The data supports this because the jar w ith the dark gray lid had a temperature that was more in between that of the black and white jars, when the light gray jar had a temperature that was closer to the white jar, making it to cold.",2,2
27569,"black ::  The color black will be more warmer inside than any other colors above thus, Brandi and Jerry should paint th dog ho use black. According to the results from the experiment, the color black had the highest average air temperature of 53. The darker the color the warmer the air temperature was in the glass jar because darker colors absorb more energy.",2,2
26965,"white ::  I chose the color white for the doghouse. Thi s is because if the darker the color, the greater increase in temperature , then I would want to choose the lightest color so that the temperature of the inside of the doghouse would be cooler than the colors light gray, dark gray and black. This would help the dog stay cooler and not get as hot in the summer. The darker the color, the greater increase in temperat ure is correct because the average temperature of the inside of the jar w ith the black lid was 53(DEG) C when the average temperature of the insi de of the jar with the white lid was 42(DEG) C. The white lid jar was 11 (DEG) cooler than the black lid jar.",2,2
26691,"dark gray :: The reason that I selected dark gray as the o ptimal color for the doghouse is becauseout of all the colors, dark gray seemed to be the middle tempurature. This tempurature will affect the dog house by making it hotter in the winter when the sun shines on it, and c ooler then black in the summer, because it is a lighter shade than black. This will occur from the dark gray paint, because in the experiment, the use of the black lid made the air tempurature inside the jar an average of 53(DEG). The use of a white lid in the experiment made the air tempur ature inside the jar an average of 42(DEG). The use of a light gray lid made the air tempurature inside the jar an average of 45(DEG), and the u se of a dark gray lid made the air tempurature inside the jar 48(DEG). T his shows that dark gray is the middle tempurature, and ideal for a dogho use, because its tempurature was 6(DEG) hotter than the coolest tempurat ure, and 5(DEG) cooler then the hottest tempurature, making dark gray me dium in tempurature, and optimal for a dog house.",2,2
27557,"white ::  Using white paint would make the doghouse col der than if they used black paint. As was shown by the table, the average temperature of the jar with a black lid was 53(DEG)C, while the average temperature of the jar with a white lid was 42(DEG)C. The jar with the black lid was 11(DEG)C warmer than the jar with the white lid. Thus, usi ng white paint would also make the doghouse colder than using black paint , and Brandi and Jerry should use white paint.",2,2
27074,"black :: I believe that the dog house should be painte d black because it can keep the dog house warm during the winter. The dat a shows that the inside of the glass jar was 53(DEG)C when the black lid was used. Using the black lid proved to have the highest tempreture in t he glass jar. A disadvantage would be that in the summer the dog house wi ll be too hot, but as for the winter the black is the correct choice.",2,2
26839,"white ::  White paint will affect the inside of the doghouse by making it cooler than it would be if the doghouse was a different color. In the experiment, the white color had the lowest temperature, after 10 minutes, and was 42(DEG)C. The light gray was 45(DEG)C, the dark gray was 48(DEG)C, and the black was 53(DEG)C. Since the white had the lowest temperature, it would keep the doghouse coolest, and therefore be the best to use.",2,2
